Time,PlayerLocation,PlaterRotation,
2023.10.14-15.47.01.571,X=401836.783 Y=371798.929 Z=1414.941,P=0.724612 Y=43.077461 R=2.416887,
2023.10.14-15.47.01.627,X=401862.222 Y=371822.726 Z=1414.941,P=0.563693 Y=43.067625 R=2.569659,
2023.10.14-15.47.01.682,X=401885.686 Y=371844.669 Z=1414.941,P=0.445236 Y=43.022538 R=2.465910,
2023.10.14-15.47.01.740,X=401909.983 Y=371867.370 Z=1414.941,P=0.312502 Y=42.944213 R=2.411918,
2023.10.14-15.47.01.798,X=401935.591 Y=371891.256 Z=1414.941,P=0.003033 Y=42.863325 R=2.403317,
2023.10.14-15.47.01.855,X=401960.632 Y=371914.560 Z=1414.941,P=-0.145270 Y=42.893938 R=2.176686,
2023.10.14-15.47.01.909,X=401985.164 Y=371937.369 Z=1414.941,P=-0.264428 Y=43.005896 R=2.112608,
2023.10.14-15.47.01.966,X=402009.663 Y=371960.173 Z=1414.941,P=-0.481479 Y=43.143583 R=2.062192,
2023.10.14-15.47.02.022,X=402034.328 Y=371983.200 Z=1414.941,P=-0.666775 Y=43.309822 R=1.944691,
2023.10.14-15.47.02.076,X=402058.790 Y=372006.133 Z=1414.941,P=-0.865554 Y=43.462947 R=1.874793,
2023.10.14-15.47.02.128,X=402082.012 Y=372028.007 Z=1414.941,P=-0.938898 Y=43.653156 R=1.760974,
2023.10.14-15.47.02.181,X=402102.598 Y=372047.465 Z=1414.941,P=-1.032188 Y=44.002114 R=1.811946,
2023.10.14-15.47.02.233,X=402109.219 Y=372053.732 Z=1414.941,P=-1.121320 Y=44.459503 R=1.811506,
2023.10.14-15.47.02.283,X=402109.219 Y=372053.732 Z=1414.941,P=-1.132788 Y=44.893724 R=1.805712,
2023.10.14-15.47.02.334,X=402109.219 Y=372053.732 Z=1414.941,P=-1.195380 Y=45.350997 R=1.931721,
2023.10.14-15.47.02.380,X=402109.219 Y=372053.732 Z=1414.941,P=-1.324848 Y=45.709139 R=2.027164,
2023.10.14-15.47.02.431,X=402109.219 Y=372053.732 Z=1414.941,P=-1.422283 Y=46.207655 R=2.095750,
2023.10.14-15.47.02.478,X=402109.219 Y=372053.732 Z=1414.941,P=-1.431192 Y=46.612520 R=2.188036,
2023.10.14-15.47.02.526,X=402109.219 Y=372053.732 Z=1414.941,P=-1.616291 Y=47.136483 R=2.421218,
2023.10.14-15.47.02.576,X=402109.687 Y=372055.117 Z=1414.941,P=-1.743302 Y=47.671450 R=2.506478,
2023.10.14-15.47.02.619,X=402111.054 Y=372059.748 Z=1414.941,P=-1.700429 Y=48.031531 R=2.373335,
2023.10.14-15.47.02.667,X=402113.132 Y=372066.900 Z=1414.941,P=-1.465405 Y=48.457396 R=2.389884,
